Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2016-09-22,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-09-22,Lunch,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-22,Dinner,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-22,Snacks,620.0,19.5,5.5,4.5,7.0,0.0,65.0,950.0,0.0,37.0,5.0,12.0,73.0,4.0,0.0,26.0,14.0
2016-09-23,Breakfast,328.7,7.6,4.2,0.0,0.1,0.0,24.5,536.0,400.3,51.7,3.8,0.7,11.0,4.2,0.0,4.3,18.3
2016-09-23,Lunch,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-23,Snacks,3178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-24,Breakfast,530.0,19.0,7.0,0.0,0.0,0.0,205.0,1340.0,0.0,66.0,5.0,7.0,24.0,8.0,0.0,15.0,25.0
2016-09-24,Lunch,885.0,24.0,8.0,0.0,0.0,0.0,60.0,3485.0,0.0,108.0,34.0,13.0,54.5,20.0,35.0,22.0,55.0
2016-09-24,Dinner,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-24,Snacks,1080.0,2.0,1.0,0.0,0.0,0.0,60.0,260.0,0.0,6.0,0.0,2.0,48.0,0.0,0.0,16.0,4.0
2016-09-25,Lunch,700.0,17.5,3.5,0.0,0.0,0.0,140.0,2310.0,0.0,70.0,28.0,7.0,66.5,0.0,35.0,49.0,42.0
2016-09-25,Snacks,3495.0,9.5,2.5,2.3,3.5,0.0,60.0,325.0,0.0,9.5,1.0,3.5,52.0,0.0,0.0,17.0,6.0
2016-09-26,Breakfast,200.0,7.5,3.5,0.0,0.0,0.0,15.0,430.0,0.0,24.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0
2016-09-26,Lunch,1180.0,47.0,9.5,0.0,0.0,0.0,240.0,2520.0,0.0,116.0,10.0,34.0,73.0,0.0,0.0,0.0,0.0
2016-09-26,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-09-26,Snacks,240.0,2.0,1.0,0.0,0.0,0.0,60.0,260.0,0.0,6.0,0.0,2.0,48.0,0.0,0.0,16.0,4.0
2016-09-27,Dinner,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-28,Breakfast,474.7,11.6,6.5,0.0,0.1,0.0,35.0,484.5,232.3,48.0,2.0,5.0,11.6,6.0,15.0,17.9,15.3
2016-09-28,Lunch,394.0,1.4,0.1,0.1,0.0,0.0,37.5,1339.5,227.0,73.8,12.1,28.8,24.1,36.0,20.5,4.0,26.5
2016-09-28,Dinner,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-28,Snacks,292.0,2.0,1.0,0.0,0.0,0.0,60.0,320.0,0.0,18.0,2.7,8.7,49.3,190.0,4.0,18.0,8.0
2016-09-29,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-09-29,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
2016-09-29,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
