Date,Weight
2016-09-22,155.0
2016-09-23,156.0
2016-09-24,154.0
2016-09-25,154.0
2016-09-27,155.0
2016-09-29,157.0
2016-09-30,156.0
2016-10-05,153.0
2016-10-06,155.0
2016-10-10,156.0
2016-10-11,154.0
2016-10-12,155.0
2016-10-13,157.0
2016-10-15,154.0
2016-10-18,158.0
2016-10-19,157.0
2016-10-20,156.0
2016-10-22,154.0
2016-10-23,158.0
2016-10-24,158.0
2016-10-25,155.0
2016-10-26,157.0
2016-10-27,158.0
2016-10-29,155.0
2016-11-01,158.0
2016-11-02,156.0
2016-11-03,155.0
2016-11-04,156.0
2016-11-08,154.0
2016-11-09,153.0
2016-11-10,158.0
2016-11-14,160.2
2016-11-15,159.4
2016-11-16,160.0
2016-11-17,159.2
2016-11-18,160.0
2016-11-19,160.8
2016-11-20,160.2
2016-11-21,160.0
2016-11-22,158.8
2016-11-23,159.4
2016-11-28,159.6
2016-11-29,160.8
2016-11-30,159.8
2016-12-01,159.6
2016-12-02,161.0
2016-12-03,161.2
2016-12-04,157.6
2016-12-05,157.2
2016-12-06,160.4
2016-12-07,159.4
2016-12-08,159.8
2016-12-09,159.8
2016-12-10,159.2
2016-12-11,159.8
2016-12-13,159.4
2016-12-14,159.4
2016-12-15,163.4
2016-12-17,160.0
2016-12-19,159.0
2016-12-20,158.6
2016-12-21,160.4
2017-01-02,161.2
2017-01-03,161.4
2017-01-04,159.6
2017-01-05,159.6
2017-01-07,159.6
2017-01-09,159.4
2017-01-10,160.4
2017-01-11,160.8
2017-01-12,160.2
2017-01-13,161.0
2017-01-14,159.8
2017-01-15,159.0
2017-01-17,163.2
2017-01-18,161.8
2017-01-19,162.0
2017-01-20,161.8
2017-01-21,160.2
2017-01-23,162.0
2017-01-24,161.2
2017-01-25,160.2
2017-01-26,163.2
2017-01-27,164.2
2017-01-28,162.6
2017-01-30,160.2
2017-01-31,162.2
2017-02-01,162.6
2017-02-02,161.8
2017-02-07,161.8
2017-02-08,161.2
2017-02-09,161.6
2017-02-10,162.0
2017-02-11,161.8
2017-02-13,161.0
2017-02-14,161.2
2017-02-15,162.2
2017-02-16,163.4
2017-02-17,161.4
2017-02-22,163.0
2017-02-23,161.8
2017-02-24,162.2
2017-02-25,162.4
2017-02-26,161.2
2017-02-27,162.2
2017-02-28,162.4
2017-03-01,162.4
2017-03-02,161.2
2017-03-03,160.4
2017-03-04,159.8
2017-03-06,157.6
